iter	Logloss
0	0.6851663411
1	0.6766073405
2	0.6670926514
3	0.6606500244
4	0.6537559408
5	0.6459863281
6	0.6376787923
7	0.6295206706
8	0.6227664388
9	0.6166324056
10	0.6112834473
11	0.6038407796
12	0.5977127279
13	0.5917036133
14	0.5858817546
15	0.5792385254
16	0.573878418
17	0.5684618734
18	0.5624897054
19	0.5579348958
20	0.5537494303
21	0.5481491699
22	0.5428543294
23	0.5376274414
24	0.5335206299
25	0.529859375
26	0.5262010091
27	0.5222543945
28	0.5184296061
29	0.5149631755
30	0.51065979
31	0.5073667806
32	0.5039789632
33	0.5006797282
34	0.4967548014
35	0.4930548503
36	0.4902657064
37	0.487342041
38	0.4843575846
39	0.4818763835
40	0.4791910807
41	0.4760306396
42	0.4735055339
43	0.4707530924
44	0.467769694
45	0.4655461426
46	0.4627444661
47	0.4605435384
48	0.4585005697
49	0.4564478353
50	0.4543047282
51	0.451822347
52	0.4500608724
53	0.4485103353
54	0.4461829427
55	0.4448015951
56	0.4426643473
57	0.4409726562
58	0.4395497233
59	0.4380342204
60	0.4365416667
61	0.4349547526
62	0.4334864909
63	0.4320105794
64	0.4301493734
65	0.4288126628
66	0.4276486816
67	0.4259274495
68	0.4246293945
69	0.423007609
70	0.4217751465
71	0.4202328695
72	0.4191493327
73	0.4180319417
74	0.4166460775
75	0.415248291
76	0.4138955892
77	0.4128660889
78	0.4116316732
79	0.4107300618
80	0.4098095703
81	0.4085851644
82	0.4078649089
83	0.40693514
84	0.4059980469
85	0.4050901693
86	0.4042045085
87	0.4033348796
88	0.4024697266
89	0.4016705729
90	0.4009333496
91	0.4001458333
92	0.3990745443
93	0.3983011882
94	0.3976124674
95	0.3967935384
96	0.3962769368
97	0.395488444
98	0.3947324219
99	0.3939995931
100	0.3933917643
101	0.3927394613
102	0.3921050618
103	0.3916275635
104	0.3910338542
105	0.3902851562
106	0.3897126465
107	0.3891707357
108	0.3886162923
109	0.3882238363
110	0.3876757813
111	0.3871394857
112	0.3866241455
113	0.3861679281
114	0.3854259847
115	0.3847365723
116	0.3842347412
117	0.3835390218
118	0.3831595459
119	0.3826430664
120	0.3821426188
121	0.3816579997
122	0.381192749
123	0.3808262533
124	0.3802860107
125	0.3799221191
126	0.3793958333
127	0.3790377604
128	0.3786184489
129	0.3782102865
130	0.37784375
131	0.3775656738
132	0.3771777751
133	0.3768305664
134	0.376360555
135	0.3761234538
136	0.3757601725
137	0.3755280762
138	0.3751643066
139	0.3747711995
140	0.3745315755
141	0.3741682129
142	0.3739159342
143	0.3736329346
144	0.3732923991
145	0.3729980062
146	0.3725882161
147	0.3722956543
148	0.3720200602
149	0.3717530924
150	0.371447876
151	0.3711863607
152	0.3710030924
153	0.3706996257
154	0.3704500326
155	0.3703003337
156	0.370009196
157	0.3697540283
158	0.3695025228
159	0.3693059896
160	0.3690109049
161	0.3687597656
162	0.3684864502
163	0.3681321615
164	0.3678736165
165	0.3676303711
166	0.3673951416
167	0.3671620687
168	0.3668955892
169	0.3667410075
170	0.3665245768
171	0.3662716878
172	0.3660920817
173	0.3658922119
174	0.3656447754
175	0.3654213053
176	0.3652547607
177	0.3650060221
178	0.3647873535
179	0.364547526
180	0.3642915853
181	0.3641310221
182	0.3640086263
183	0.3638489176
184	0.3636275228
185	0.3635141602
186	0.3634083659
187	0.3630748698
188	0.3628763021
189	0.3627437337
190	0.3626048177
191	0.3622133382
192	0.3620813395
193	0.3619132894
194	0.3616993815
195	0.3614386393
196	0.3613010661
197	0.3611739909
198	0.3610154622
199	0.3608134766
200	0.3606640625
201	0.3605186361
202	0.3602721354
203	0.3601638997
204	0.3600108236
205	0.3598107096
206	0.3596474609
207	0.3593404948
208	0.3591372884
209	0.3589246826
210	0.3586013997
211	0.3584552816
212	0.3581422526
213	0.3579649658
214	0.3577789307
215	0.3576229655
216	0.357347819
217	0.3572412109
218	0.3571103109
219	0.3569366862
220	0.3568559163
221	0.356723877
222	0.3565946452
223	0.3564726563
224	0.3563058675
225	0.3562514648
226	0.356127889
