iter	Logloss
227	0.3560192057
228	0.3558619792
229	0.3557406413
230	0.3555661621
231	0.355424235
232	0.3552915853
233	0.3551171468
234	0.3549609375
235	0.3547342936
236	0.3546153158
237	0.3544322103
238	0.3542844238
239	0.3541201172
240	0.3540664063
241	0.3539466553
242	0.3538626302
243	0.3537570801
244	0.3536306559
245	0.3535214437
246	0.3533314616
247	0.3532848307
248	0.3531368001
249	0.3529954427
250	0.3528522135
251	0.3527716471
252	0.3526679281
253	0.3525425618
254	0.3524377848
255	0.3523246663
256	0.3520983887
257	0.3519766439
258	0.3518625488
259	0.3517532552
260	0.3516299642
261	0.3515148926
262	0.3514256185
263	0.3513089193
264	0.3511826986
265	0.3511028239
266	0.3510012614
267	0.3508954671
268	0.3507225749
269	0.3505568848
270	0.3503264567
271	0.3501221924
272	0.3500487061
273	0.3499536947
274	0.3498750407
275	0.3497500814
276	0.3496326497
277	0.3495520833
278	0.3494735107
279	0.3493602702
280	0.3492923991
281	0.3492205811
282	0.3491137695
283	0.3490596517
284	0.3490195719
285	0.3489434814
286	0.3488850911
287	0.3488168945
288	0.3486991374
289	0.3486393229
290	0.3485663249
291	0.3484992676
292	0.34837146
293	0.3482689616
294	0.3481268717
295	0.348052653
296	0.3479707031
297	0.347858724
298	0.3478015137
299	0.3477105306
300	0.3475994466
301	0.3475359294
302	0.3474763184
303	0.3472876383
304	0.3471678874
305	0.3471201986
306	0.3470461833
307	0.3469039714
308	0.3468493652
309	0.3468111165
310	0.3467340495
311	0.3466590169
312	0.346580485
313	0.3464248454
314	0.3463441569
315	0.3462797852
316	0.346174235
317	0.3461106771
318	0.3460345052
319	0.3459321289
320	0.3457989502
321	0.3456635335
322	0.3455799154
323	0.3454487305
324	0.3453190918
325	0.3452072347
326	0.3451050212
327	0.3450578613
328	0.3449895426
329	0.3449312337
330	0.3449097087
331	0.3448793538
332	0.3448194987
333	0.344781901
334	0.3447329508
335	0.3446169434
336	0.3445711263
337	0.3444383545
338	0.3443956706
339	0.3442762858
340	0.3441601969
341	0.3440734863
342	0.3439836019
343	0.3439403483
344	0.3438462728
345	0.3437836914
346	0.3437290446
347	0.3436181641
348	0.3435244954
349	0.3434849447
350	0.3433761393
351	0.3433400065
352	0.343270752
353	0.3432134603
354	0.3431795247
355	0.3431176758
356	0.3430625
357	0.3430046387
358	0.3429558105
359	0.3428426921
360	0.3427959391
361	0.3427347819
362	0.3426233724
363	0.3425712891
364	0.3424991862
365	0.342426473
366	0.3423580322
367	0.3423133138
368	0.3422684326
369	0.3422248535
370	0.3421842855
371	0.342148234
372	0.3420795898
373	0.3420175374
374	0.3419032389
375	0.341853597
376	0.3418312988
377	0.3417430827
378	0.3416975911
379	0.3415432536
380	0.3415238444
381	0.34146875
382	0.3414408773
383	0.3413890788
384	0.3413087565
385	0.341250529
386	0.3411052246
387	0.3410662842
388	0.3410209554
389	0.3409697469
390	0.3409199219
391	0.34087382
392	0.3408129069
393	0.340656901
394	0.3405628052
395	0.3405109049
396	0.3404697062
397	0.3404151001
398	0.3403649089
399	0.3403318481
400	0.3403056641
401	0.3402604574
402	0.3401962484
403	0.3401079102
404	0.3400595296
405	0.3400123291
406	0.3399057007
407	0.3398395996
408	0.3398028768
409	0.3397671509
410	0.3397259318
411	0.3396909993
412	0.3396398519
413	0.3396021932
414	0.3395703328
415	0.3394786174
416	0.3394316813
417	0.3393916219
418	0.339336141
419	0.3393025513
420	0.3392021891
421	0.3391559448
422	0.3391216227
423	0.3390545858
424	0.3390203044
425	0.3389894613
426	0.3389477132
427	0.3389156087
428	0.33884375
429	0.338807312
430	0.3386761068
431	0.3386372477
432	0.3385929159
433	0.3385522868
434	0.3385065715
435	0.3384655355
436	0.3384303589
437	0.3383782959
438	0.3383310954
